Id,Label,timeset,indegree,outdegree,degree,modularity_class
0,0,,2709,2015,4724,3
1,1,,2666,1317,3983,4
2,2,,1792,1068,2860,18
3,3,,1590,886,2476,9
4,4,,944,1626,2570,3
5,5,,1517,1077,2594,3
6,6,,1026,1486,2512,5
7,7,,1202,1071,2273,3
8,8,,1464,554,2018,4
9,9,,1303,457,1760,18
10,10,,947,724,1671,94
11,11,,973,763,1736,3
12,12,,733,904,1637,5
13,13,,470,800,1270,3
14,14,,489,814,1303,4
15,15,,792,334,1126,1
16,16,,657,428,1085,7
17,17,,853,224,1077,0
18,18,,689,346,1035,14
19,19,,252,760,1012,0
20,20,,593,373,966,3
21,21,,373,490,863,5
22,22,,347,497,844,5
23,23,,458,319,777,3
24,24,,446,278,724,1
25,25,,335,384,719,4
26,26,,341,379,720,4
27,27,,271,419,690,94
28,28,,270,386,656,18
29,29,,335,342,677,33
30,30,,417,244,661,3
31,31,,464,225,689,14
32,32,,247,356,603,7
33,33,,279,263,542,1
34,34,,334,261,595,8
35,35,,272,341,613,3
36,36,,453,83,536,7
37,37,,322,234,556,5
38,38,,180,337,517,5
39,39,,207,316,523,3
40,40,,230,305,535,1
41,41,,219,203,422,5
42,42,,239,312,551,4
43,43,,323,187,510,5
44,44,,62,408,470,9
45,45,,113,342,455,3
46,46,,191,215,406,4
47,47,,156,242,398,9
48,48,,104,305,409,18
49,49,,223,184,407,105
50,50,,221,153,374,3
51,51,,143,271,414,7
52,52,,129,264,393,18
53,53,,262,151,413,5
54,54,,201,200,401,5
55,55,,259,129,388,8
56,56,,246,128,374,9
57,57,,280,126,406,5
58,58,,227,108,335,4
59,59,,159,250,409,4
60,60,,269,98,367,3
61,61,,270,83,353,27
62,62,,144,218,362,1
63,63,,213,160,373,5
64,64,,230,129,359,5
65,65,,159,223,382,14
66,66,,232,126,358,33
67,67,,224,116,340,22
68,68,,207,175,382,1
69,69,,164,140,304,3
70,70,,193,123,316,5
71,71,,99,242,341,3
72,72,,115,150,265,22
73,73,,193,127,320,94
74,74,,107,203,310,33
75,75,,126,153,279,3
76,76,,94,201,295,18
77,77,,137,129,266,4
78,78,,173,122,295,6
79,79,,138,147,285,1
80,80,,156,116,272,14
81,81,,246,53,299,33
82,82,,183,115,298,4
83,83,,127,163,290,1
84,84,,120,162,282,1
85,85,,169,165,334,1
86,86,,155,93,248,3
87,87,,91,206,297,4
88,88,,110,134,244,4
89,89,,194,97,291,4
90,90,,136,93,229,18
91,91,,95,85,180,2
92,92,,214,62,276,32
93,93,,48,211,259,32
94,94,,76,207,283,14
95,95,,127,98,225,4
96,96,,126,101,227,3
97,97,,65,168,233,22
98,98,,106,152,258,3
99,99,,175,83,258,16
100,100,,102,195,297,14
101,101,,76,93,169,2
102,102,,99,124,223,9
103,103,,91,97,188,5
104,104,,126,89,215,7
105,105,,135,97,232,18
106,106,,42,162,204,18
107,107,,147,98,245,5
108,108,,191,35,226,3
109,109,,70,108,178,3
110,110,,90,135,225,7
111,111,,115,112,227,5
112,112,,112,107,219,3
113,113,,79,129,208,3
114,114,,129,55,184,22
115,115,,65,132,197,7
116,116,,111,79,190,4
117,117,,130,97,227,4
118,118,,98,106,204,77
119,119,,38,165,203,0
120,120,,138,76,214,78
121,121,,144,63,207,32
122,122,,74,105,179,27
123,123,,87,114,201,22
124,124,,99,124,223,9
125,125,,136,61,197,78
126,126,,121,65,186,105
127,127,,79,114,193,5
128,128,,113,102,215,14
129,129,,173,28,201,1
130,130,,117,70,187,4
131,131,,77,103,180,22
132,132,,119,104,223,1
133,133,,84,128,212,4
134,134,,70,93,163,5
135,135,,80,74,154,3
136,136,,147,34,181,18
137,137,,137,69,206,105
138,138,,106,89,195,4
139,139,,76,60,136,3
140,140,,114,89,203,105
141,141,,64,84,148,3
142,142,,1,191,192,4
143,143,,70,119,189,3
144,144,,48,137,185,4
145,145,,81,98,179,5
146,146,,125,56,181,105
147,147,,64,116,180,3
148,148,,67,50,117,4
149,149,,18,130,148,3
150,150,,50,105,155,27
151,151,,122,24,146,0
152,152,,28,122,150,4
153,153,,74,100,174,3
154,154,,32,109,141,9
155,155,,113,27,140,22
156,156,,103,49,152,10
157,157,,72,83,155,3
158,158,,66,102,168,5
159,159,,49,44,93,27
160,160,,66,83,149,9
161,161,,49,52,101,1
162,162,,25,123,148,3
163,163,,50,45,95,3
164,164,,91,33,124,9
165,165,,28,104,132,7
166,166,,28,117,145,32
167,167,,38,91,129,1
168,168,,71,66,137,3
169,169,,60,28,88,3
170,170,,41,92,133,8
171,171,,58,90,148,1
172,172,,104,31,135,6
173,173,,98,41,139,5
174,174,,76,58,134,1
175,175,,88,61,149,7
176,176,,20,119,139,14
177,177,,87,44,131,9
178,178,,38,37,75,5
179,179,,75,55,130,4
180,180,,100,40,140,34
181,181,,29,64,93,1
182,182,,81,71,152,5
183,183,,64,74,138,94
184,184,,91,42,133,0
185,185,,39,98,137,3
186,186,,73,63,136,6
187,187,,102,23,125,5
