Id,Label,timeset,modularity_class,indegree,outdegree,degree
0,0,,23,2189,1896,4085
1,1,,23,3574,2315,5889
2,2,,105,10,194,204
3,3,,105,11,10,21
4,4,,105,1,3,4
5,5,,105,600,237,837
6,6,,8,1812,2045,3857
7,7,,8,84,62,146
8,8,,76,316,713,1029
9,9,,76,1000,400,1400
10,10,,76,74,109,183
11,11,,76,28,101,129
12,12,,76,14,25,39
13,13,,76,588,667,1255
14,14,,52,345,1155,1500
15,15,,52,1291,839,2130
16,16,,52,6,17,23
17,17,,52,537,746,1283
18,18,,52,108,170,278
19,19,,43,3515,7506,11021
20,20,,43,760,305,1065
21,21,,23,1058,1346,2404
22,22,,127,493,247,740
23,23,,105,49,94,143
24,24,,105,2,0,2
25,25,,52,1461,995,2456
26,26,,52,526,138,664
27,27,,23,44,86,130
28,28,,23,7666,5533,13199
29,29,,14,15,5,20
30,30,,23,121,71,192
31,31,,14,245,187,432
32,32,,105,624,682,1306
33,33,,105,303,197,500
34,34,,0,34,47,81
35,35,,105,134,105,239
36,36,,105,18,20,38
37,37,,105,87,45,132
38,38,,105,1255,841,2096
39,39,,105,12,19,31
40,40,,43,277,648,925
41,41,,43,270,348,618
42,42,,43,9820,6678,16498
43,43,,43,24,45,69
44,44,,43,3437,2546,5983
45,45,,43,397,647,1044
46,46,,14,107,415,522
47,47,,14,447,213,660
48,48,,120,423,266,689
49,49,,120,236,133,369
50,50,,23,5907,4537,10444
51,51,,111,569,451,1020
52,52,,111,235,129,364
53,53,,23,2497,2605,5102
54,54,,23,167,365,532
55,55,,23,414,821,1235
56,56,,23,72,102,174
57,57,,43,6020,0,6020
58,58,,5,3,7,10
59,59,,5,24,10,34
60,60,,127,80,85,165
61,61,,23,722,372,1094
62,62,,23,61,26,87
63,63,,23,3521,2128,5649
64,64,,23,3271,2219,5490
65,65,,0,2603,1826,4429
66,66,,23,9064,7514,16578
67,67,,23,2616,1974,4590
68,68,,23,539,318,857
69,69,,43,229,132,361
70,70,,43,5511,1649,7160
71,71,,43,65,117,182
72,72,,43,25,37,62
73,73,,23,248,510,758
74,74,,5,1413,960,2373
75,75,,5,382,208,590
76,76,,105,219,213,432
77,77,,105,1167,559,1726
78,78,,15,449,293,742
79,79,,23,351,275,626
80,80,,23,4116,5168,9284
81,81,,88,280,268,548
82,82,,111,79,64,143
83,83,,8,12,22,34
84,84,,8,182,114,296
85,85,,8,79,204,283
86,86,,8,22,41,63
87,87,,8,2,3,5
88,88,,3,171,445,616
89,89,,3,58,27,85
90,90,,5,85,55,140
91,91,,8,276,705,981
92,92,,8,113,65,178
93,93,,127,12,5,17
94,94,,111,109,137,246
95,95,,8,5,4,9
96,96,,8,1,1,2
97,97,,0,410,819,1229
98,98,,0,945,484,1429
99,99,,23,9,1,10
100,100,,43,128,359,487
101,101,,23,64,42,106
102,102,,43,11,7,18
103,103,,43,13,3,16
104,104,,127,22,9,31
105,105,,23,72,62,134
106,106,,23,181,385,566
107,107,,23,1,5,6
108,108,,66,43,22,65
109,109,,66,103,94,197
110,110,,21,157,79,236
111,111,,23,99,76,175
112,112,,8,389,322,711
113,113,,8,2,0,2
114,114,,14,36,91,127
115,115,,23,3084,2693,5777
116,116,,14,631,548,1179
117,117,,23,893,1337,2230
118,118,,23,14,18,32
119,119,,0,23,11,34
120,120,,43,295,406,701
121,121,,52,15,17,32
122,122,,43,7593,5535,13128
123,123,,15,250,321,571
124,124,,15,83,19,102
125,125,,43,1268,1139,2407
126,126,,31,911,702,1613
127,127,,31,876,465,1341
128,128,,43,146,60,206
129,129,,105,145,255,400
130,130,,105,2,5,7
131,131,,105,0,8,8
132,132,,8,32,25,57
133,133,,8,309,194,503
134,134,,8,4,13,17
135,135,,23,85,98,183
136,136,,23,5,21,26
137,137,,23,61,66,127
