Id,Label,timeset,modularity_class,indegree,outdegree,degree
0,0,,46,0,111,111
1,1,,46,102,212,314
2,2,,46,0,276,276
3,3,,46,16,0,16
4,4,,46,0,257,257
5,5,,46,242,0,242
6,6,,1214,19,24,43
7,7,,1214,24,0,24
8,8,,0,0,0,0
9,9,,1,0,0,0
10,10,,2,0,0,0
11,11,,3,0,0,0
12,12,,61,0,383,383
13,13,,61,106,0,106
14,14,,61,268,0,268
15,15,,46,0,302,302
16,16,,46,242,0,242
17,17,,46,0,423,423
18,18,,46,256,0,256
19,19,,261,0,227,227
20,20,,261,51,0,51
21,21,,4,0,1266,1266
22,22,,4,422,0,422
23,23,,4,422,0,422
24,24,,4,422,0,422
25,25,,46,291,1287,1578
26,26,,46,283,0,283
27,27,,61,228,0,228
28,28,,46,3154,218,3372
29,29,,46,4449,0,4449
30,30,,46,5785,0,5785
31,31,,5,0,0,0
32,32,,6,211,0,211
33,33,,46,288,0,288
34,34,,7,0,0,0
35,35,,8,0,0,0
36,36,,9,0,0,0
37,37,,10,0,0,0
38,38,,11,0,0,0
39,39,,12,0,0,0
40,40,,261,16,210,226
41,41,,261,12,0,12
42,42,,29,0,1266,1266
43,43,,29,422,0,422
44,44,,46,4,712,716
45,45,,46,142,0,142
46,46,,46,864,0,864
47,47,,46,0,354,354
48,48,,46,98,0,98
49,49,,46,12,0,12
50,50,,13,0,138,138
51,51,,13,138,0,138
52,52,,14,0,0,0
53,53,,15,0,422,422
54,54,,15,1055,0,1055
55,55,,46,0,405,405
56,56,,16,0,0,0
57,57,,17,0,0,0
58,58,,46,77,0,77
59,59,,46,187,0,187
60,60,,18,0,278,278
61,61,,18,278,0,278
62,62,,19,0,422,422
63,63,,19,1055,0,1055
64,64,,21,0,138,138
65,65,,20,0,0,0
66,66,,21,138,0,138
67,67,,22,0,422,422
68,68,,22,1055,0,1055
69,69,,61,10,428,438
70,70,,61,106,0,106
71,71,,23,0,0,0
72,72,,61,284,0,284
73,73,,61,8,0,8
74,74,,61,112,0,112
75,75,,24,0,422,422
76,76,,24,422,0,422
77,77,,46,0,425,425
78,78,,46,276,0,276
79,79,,46,0,278,278
80,80,,25,0,0,0
81,81,,46,138,0,138
82,82,,46,69,0,69
83,83,,46,0,464,464
84,84,,46,225,0,225
85,85,,1203,0,212,212
86,86,,26,0,0,0
87,87,,27,0,0,0
88,88,,46,0,632,632
89,89,,46,122,0,122
90,90,,46,288,0,288
91,91,,46,124,0,124
92,92,,121,0,228,228
93,93,,121,179,0,179
94,94,,115,0,422,422
95,95,,115,1103,0,1103
96,96,,28,0,422,422
97,97,,28,422,0,422
98,98,,46,0,283,283
99,99,,46,633,0,633
100,100,,46,0,365,365
101,101,,46,118,0,118
102,102,,29,422,0,422
103,103,,29,422,0,422
104,104,,61,0,425,425
105,105,,30,0,0,0
106,106,,61,83,0,83
107,107,,61,284,0,284
108,108,,31,0,0,0
109,109,,32,0,248,248
110,110,,32,248,0,248
111,111,,33,0,0,0
112,112,,34,0,0,0
113,113,,46,0,342,342
114,114,,1203,378,213,591
115,115,,1203,1560,682,2242
116,116,,1203,2438,0,2438
117,117,,1203,394,0,394
118,118,,61,0,68,68
119,119,,61,251,0,251
120,120,,61,165,0,165
121,121,,174,0,208,208
122,122,,174,10629,0,10629
123,123,,174,14108,0,14108
124,124,,162,0,209,209
125,125,,162,13760,0,13760
126,126,,162,3696,0,3696
127,127,,162,0,159,159
128,128,,174,0,208,208
129,129,,174,22080,0,22080
130,130,,35,0,211,211
131,131,,35,422,0,422
132,132,,174,0,212,212
133,133,,162,0,209,209
134,134,,162,0,209,209
135,135,,158,1554,2156,3710
136,136,,36,0,0,0
137,137,,158,844,0,844
138,138,,162,0,420,420
139,139,,162,0,209,209
140,140,,174,0,208,208
141,141,,174,0,208,208
142,142,,46,0,206,206
143,143,,46,10,0,10
144,144,,174,0,212,212
145,145,,174,0,208,208
146,146,,174,0,208,208
147,147,,38,0,208,208
148,148,,38,19735,0,19735
149,149,,162,0,334,334
150,150,,174,0,208,208
151,151,,174,0,208,208
152,152,,174,0,208,208
153,153,,162,0,209,209
154,154,,37,0,211,211
155,155,,37,2743,0,2743
156,156,,174,0,208,208
157,157,,174,0,208,208
158,158,,38,0,208,208
159,159,,38,841,0,841
160,160,,162,126,82,208
161,161,,38,0,208,208
162,162,,38,203,0,203
163,163,,38,2488,0,2488
164,164,,991,0,422,422
165,165,,991,422,0,422
166,166,,39,0,0,0
167,167,,38,0,208,208
168,168,,38,0,208,208
169,169,,1602,271,419,690
170,170,,1602,1381,0,1381
171,171,,1602,626,0,626
172,172,,1602,256,242,498
173,173,,1602,726,0,726
174,174,,40,0,0,0
175,175,,41,0,0,0
176,176,,46,65,0,65
177,177,,174,0,208,208
178,178,,1203,3,316,319
179,179,,1203,318,0,318
180,180,,42,0,0,0
181,181,,43,0,0,0
182,182,,174,0,208,208
183,183,,99,0,633,633
184,184,,99,1266,0,1266
185,185,,174,0,208,208
186,186,,79,0,211,211
187,187,,44,0,0,0
188,188,,261,0,211,211
189,189,,261,2663,0,2663
190,190,,45,0,0,0
191,191,,46,0,357,357
192,192,,46,0,211,211
193,193,,180,211,0,211
194,194,,38,0,208,208
195,195,,261,0,211,211
196,196,,261,0,211,211
197,197,,261,0,211,211
198,198,,261,0,211,211
199,199,,261,0,211,211
200,200,,47,0,211,211
201,201,,47,422,0,422
202,202,,48,0,0,0
203,203,,174,0,208,208
204,204,,174,0,208,208
205,205,,46,0,635,635
206,206,,46,0,211,211
207,207,,46,633,0,633
208,208,,49,0,0,0
209,209,,38,0,208,208
210,210,,38,1488,0,1488
211,211,,261,0,211,211
212,212,,261,0,211,211
213,213,,261,0,211,211
