Id,Label,timeset,indegree,outdegree,degree,modularity_class
0,0,,14,16,30,96
1,1,,8,0,8,96
2,2,,38,43,81,171
3,3,,82,0,82,804
4,4,,0,3,3,113
5,5,,3,0,3,113
6,6,,0,3,3,74
7,7,,4,0,4,74
8,8,,0,3,3,46
9,9,,39,0,39,46
10,10,,0,25,25,204
11,11,,14,0,14,204
12,12,,0,1,1,21
13,13,,27,0,27,21
14,14,,64,35,99,27
15,15,,12,0,12,27
16,16,,2,3,5,73
17,17,,60,0,60,73
18,18,,0,12,12,204
19,19,,0,3,3,55
20,20,,7,0,7,55
21,21,,0,74,74,804
22,22,,4,0,4,260
23,23,,35,37,72,144
24,24,,3,0,3,73
25,25,,8,9,17,41
26,26,,11,0,11,41
27,27,,0,3,3,96
28,28,,28,0,28,47
29,29,,3,4,7,316
30,30,,50,0,50,316
31,31,,0,10,10,813
32,32,,5,0,5,813
33,33,,0,9,9,46
34,34,,0,1,1,0
35,35,,10,0,10,0
36,36,,0,4,4,46
37,37,,5,0,5,204
38,38,,0,5,5,215
39,39,,24,0,24,215
40,40,,7,7,14,57
41,41,,3,0,3,57
42,42,,0,1,1,77
43,43,,13,0,13,77
44,44,,0,1,1,21
45,45,,11,0,11,21
46,46,,1,2,3,260
47,47,,5,0,5,260
48,48,,21,22,43,46
49,49,,3,0,3,46
50,50,,3,4,7,19
51,51,,3,0,3,19
52,52,,0,3,3,46
53,53,,15,0,15,46
54,54,,4,5,9,21
55,55,,77,0,77,42
56,56,,30,51,81,33
57,57,,32,0,32,33
58,58,,65,67,132,27
59,59,,0,3,3,46
60,60,,2,0,2,46
61,61,,0,5,5,46
62,62,,45,46,91,56
63,63,,6,0,6,56
64,64,,16,17,33,804
65,65,,6,0,6,804
66,66,,6,7,13,67
67,67,,56,0,56,67
68,68,,47,49,96,46
69,69,,30,0,30,46
70,70,,12,13,25,96
71,71,,26,0,26,46
72,72,,0,5,5,280
73,73,,6,0,6,280
74,74,,0,1,1,46
75,75,,19,0,19,46
76,76,,61,9,70,19
77,77,,5,0,5,19
78,78,,34,32,66,59
79,79,,216,0,216,27
80,80,,5,6,11,124
81,81,,7,26,33,124
82,82,,17,18,35,55
83,83,,91,0,91,44
84,84,,55,56,111,73
85,85,,0,3,3,73
86,86,,4,0,4,73
87,87,,0,3,3,74
88,88,,10,11,21,46
89,89,,34,0,34,46
90,90,,0,19,19,216
91,91,,3,0,3,216
92,92,,0,35,35,804
93,93,,2,8,10,90
94,94,,9,0,9,46
95,95,,0,1,1,113
96,96,,4,0,4,113
97,97,,53,54,107,67
98,98,,56,57,113,28
99,99,,6,0,6,28
100,100,,5,10,15,27
101,101,,83,0,83,272
102,102,,6,8,14,260
103,103,,159,0,159,46
104,104,,0,1,1,113
105,105,,23,0,23,113
106,106,,26,25,51,29
107,107,,51,53,104,44
108,108,,0,6,6,46
109,109,,6,0,6,46
110,110,,0,4,4,27
111,111,,31,0,31,46
112,112,,15,16,31,14
113,113,,0,1,1,46
114,114,,10,12,22,73
115,115,,0,3,3,67
116,116,,0,3,3,67
117,117,,0,3,3,81
118,118,,3,0,3,81
119,119,,1,2,3,73
120,120,,13,12,25,73
121,121,,0,3,3,259
122,122,,0,1,1,67
123,123,,3,0,3,67
124,124,,31,12,43,67
125,125,,29,0,29,256
126,126,,0,3,3,42
127,127,,8,0,8,804
128,128,,21,22,43,55
129,129,,11,0,11,55
130,130,,0,35,35,204
131,131,,4,0,4,204
132,132,,0,80,80,204
133,133,,11,0,11,133
134,134,,10,11,21,43
135,135,,11,0,11,43
136,136,,0,26,26,804
137,137,,25,0,25,74
138,138,,20,21,41,260
139,139,,332,0,332,260
140,140,,0,3,3,46
141,141,,4,0,4,46
142,142,,16,17,33,152
143,143,,14,0,14,14
144,144,,25,26,51,38
145,145,,11,0,11,46
146,146,,21,22,43,30
147,147,,18,15,33,30
148,148,,18,20,38,27
149,149,,26,0,26,27
150,150,,21,22,43,19
151,151,,4,0,4,19
152,152,,2,3,5,39
153,153,,17,18,35,21
154,154,,7,8,15,46
155,155,,5,0,5,46
156,156,,0,14,14,216
157,157,,3,0,3,216
158,158,,6,7,13,27
159,159,,0,5,5,46
160,160,,0,31,31,216
161,161,,4,0,4,46
162,162,,11,12,23,15
163,163,,6,0,6,15
164,164,,45,46,91,5
165,165,,9,0,9,204
166,166,,11,13,24,316
167,167,,11,12,23,27
168,168,,39,0,39,27
169,169,,0,1,1,46
170,170,,4,0,4,46
171,171,,0,2,2,46
172,172,,0,1,1,49
173,173,,25,0,25,49
174,174,,8,9,17,46
175,175,,35,36,71,56
176,176,,10,0,10,56
177,177,,0,3,3,124
178,178,,11,12,23,47
179,179,,0,3,3,74
180,180,,15,17,32,27
181,181,,0,8,8,46
182,182,,0,5,5,46
183,183,,5,0,5,73
184,184,,13,14,27,73
185,185,,5,0,5,73
186,186,,35,36,71,81
187,187,,4,0,4,81
188,188,,55,56,111,187
189,189,,4,0,4,187
190,190,,14,15,29,54
191,191,,2,0,2,54
192,192,,8,9,17,0
193,193,,0,5,5,46
194,194,,6,0,6,815
195,195,,0,187,187,806
196,196,,37,13,50,90
197,197,,13,14,27,260
198,198,,0,103,103,804
199,199,,36,0,36,260
200,200,,16,17,33,56
201,201,,0,41,41,804
202,202,,4,0,4,239
203,203,,0,3,3,77
204,204,,20,21,41,113
205,205,,3,0,3,113
206,206,,0,1,1,58
207,207,,9,0,9,58
208,208,,0,108,108,73
209,209,,21,22,43,96
210,210,,11,0,11,96
211,211,,0,3,3,171
212,212,,5,0,5,171
213,213,,0,47,47,804
214,214,,8,0,8,44
215,215,,0,22,22,90
216,216,,0,2,2,280
217,217,,7,0,7,280
218,218,,0,3,3,49
219,219,,0,22,22,204
220,220,,3,0,3,204
221,221,,0,125,125,806
222,222,,7,0,7,806
223,223,,30,31,61,260
224,224,,14,0,14,260
225,225,,0,7,7,230
226,226,,32,33,65,19
227,227,,14,15,29,67
228,228,,6,0,6,46
229,229,,0,1,1,260
230,230,,6,0,6,260
231,231,,3,4,7,73
232,232,,25,26,51,14
233,233,,0,1,1,152
234,234,,4,138,142,152
235,235,,12,14,26,49
236,236,,0,63,63,815
237,237,,5,0,5,46
238,238,,0,3,3,44
239,239,,8,5,13,26
240,240,,27,0,27,29
241,241,,0,5,5,46
242,242,,0,48,48,216
243,243,,13,0,13,216
244,244,,10,11,21,90
245,245,,27,0,27,46
246,246,,0,25,25,806
247,247,,13,74,87,90
248,248,,0,3,3,55
249,249,,10,0,10,55
250,250,,0,25,25,33
251,251,,0,51,51,124
252,252,,0,4,4,46
253,253,,12,0,12,81
254,254,,9,46,55,260
255,255,,6,68,74,260
256,256,,0,1,1,260
257,257,,0,13,13,204
258,258,,23,0,23,255
259,259,,0,4,4,74
260,260,,8,9,17,260
261,261,,8,9,17,0
262,262,,0,3,3,90
263,263,,0,2,2,55
264,264,,13,14,27,77
265,265,,24,0,24,77
266,266,,0,64,64,815
267,267,,3,0,3,53
268,268,,25,26,51,14
269,269,,7,0,7,14
270,270,,25,27,52,46
271,271,,0,18,18,14
272,272,,4,5,9,56
273,273,,15,22,37,56
274,274,,0,29,29,216
275,275,,4,0,4,35
276,276,,0,5,5,46
277,277,,7,0,7,255
278,278,,0,7,7,14
279,279,,6,0,6,41
280,280,,0,3,3,272
281,281,,3,0,3,272
282,282,,0,31,31,818
283,283,,21,6,27,204
284,284,,0,7,7,230
285,285,,5,0,5,230
286,286,,0,168,168,90
287,287,,21,22,43,67
288,288,,0,2,2,113
289,289,,0,4,4,46
290,290,,5,0,5,46
291,291,,0,23,23,74
292,292,,3,0,3,74
293,293,,0,3,3,256
294,294,,0,5,5,46
295,295,,51,0,51,815
296,296,,0,1,1,46
297,297,,0,1,1,260
298,298,,0,5,5,43
299,299,,13,0,13,43
300,300,,0,10,10,204
301,301,,34,0,34,14
302,302,,0,2,2,260
303,303,,0,1,1,77
304,304,,14,15,29,113
305,305,,9,0,9,113
306,306,,0,4,4,804
307,307,,3,4,7,113
308,308,,26,0,26,113
309,309,,40,42,82,57
310,310,,5,0,5,57
311,311,,0,3,3,29
312,312,,24,25,49,49
313,313,,4,5,9,21
314,314,,0,18,18,40
315,315,,0,2,2,67
316,316,,2,0,2,67
317,317,,0,1,1,316
318,318,,6,7,13,316
319,319,,47,49,96,260
320,320,,33,34,67,67
321,321,,46,47,93,73
322,322,,0,14,14,216
323,323,,25,0,25,216
324,324,,0,1,1,316
325,325,,6,12,18,57
326,326,,0,3,3,55
327,327,,1,2,3,29
328,328,,4,0,4,29
329,329,,17,18,35,46
330,330,,9,0,9,46
331,331,,0,9,9,216
332,332,,6,0,6,42
333,333,,0,1,1,41
334,334,,0,5,5,46
335,335,,10,11,21,44
336,336,,4,0,4,44
337,337,,27,29,56,46
338,338,,5,6,11,260
339,339,,2,3,5,46
340,340,,0,4,4,74
341,341,,9,13,22,26
342,342,,3,0,3,26
343,343,,0,3,3,152
344,344,,0,4,4,113
345,345,,0,6,6,216
346,346,,11,0,11,216
347,347,,0,1,1,50
348,348,,6,0,6,50
349,349,,0,20,20,14
350,350,,48,50,98,301
351,351,,4,0,4,301
352,352,,8,10,18,260
353,353,,0,5,5,73
354,354,,15,16,31,41
355,355,,22,23,45,256
356,356,,2,4,6,11
357,357,,3,0,3,11
358,358,,0,41,41,216
359,359,,3,0,3,216
